model,best_params,cv_f1_score,high_cardinality_threshold,corr_threshold,use_rf_selector,n_components,train_accuracy,train_auroc,train_recall,train_specificity,train_f1,val_accuracy,val_auroc,val_recall,val_specificity,val_f1,config_name
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5}",0.5621991341991341,100,1.0,False,,0.7047619047619048,0.822285086978551,0.8225806451612904,0.6282722513089005,0.6868686868686869,0.6,0.6613300492610837,0.6666666666666666,0.5517241379310345,0.5833333333333334,Base
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5}",0.5448088885022078,98,0.9,False,20.0,0.7365079365079366,0.8156772504644486,0.7419354838709677,0.7329842931937173,0.6891385767790262,0.64,0.6428571428571429,0.5952380952380952,0.6724137931034483,0.5813953488372093,PCA_20
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.5526720627043208,100,0.9,False,40.0,0.746031746031746,0.8417497044418173,0.7580645161290323,0.7382198952879581,0.7014925373134329,0.65,0.6274630541871922,0.5,0.7586206896551724,0.5454545454545454,PCA_40
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.5557636373219864,50,0.9,False,,0.5587301587301587,0.6335078534031414,0.7338709677419355,0.44502617801047123,0.5669781931464174,0.57,0.5829228243021346,0.5952380952380952,0.5517241379310345,0.5376344086021505,Aggressive_Filtering
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5}",0.573836112123752,150,0.9,True,,0.6349206349206349,0.6939706130721162,0.782258064516129,0.5392670157068062,0.627831715210356,0.57,0.5874384236453202,0.5238095238095238,0.603448275862069,0.5057471264367817,RF_Selector
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.5328877334109533,98,0.9,False,15.0,0.6984126984126984,0.7584867421043742,0.5483870967741935,0.7958115183246073,0.5887445887445888,0.62,0.6260262725779967,0.4523809523809524,0.7413793103448276,0.5,PCA_15
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5}",0.4958748269274585,99,0.9,False,7.0,0.692063492063492,0.7252364465461916,0.49193548387096775,0.8219895287958116,0.5570776255707762,0.62,0.6344417077175698,0.38095238095238093,0.7931034482758621,0.45714285714285713,PCA_10
LogisticRegression_GridSearch,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",0.5195377086681434,100,0.9,False,25.0,0.9111111111111111,0.9718375274446884,0.8951612903225806,0.9214659685863874,0.888,0.57,0.605911330049261,0.35714285714285715,0.7241379310344828,0.410958904109589,PCA_25
