model,best_params,cv_f1_score,high_cardinality_threshold,corr_threshold,use_rf_selector,n_components,train_accuracy,train_auroc,train_recall,train_specificity,train_f1,val_accuracy,val_auroc,val_recall,val_specificity,val_f1,config_name
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.5659968094890442,100,0.9,False,15,0.6126984126984127,0.6950261780104713,0.7580645161290323,0.518324607329843,0.6064516129032258,0.67,0.672824302134647,0.7857142857142857,0.5862068965517241,0.6666666666666666,PCA_15
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.5703236096105366,100,0.9,False,20,0.6444444444444445,0.7077774024657998,0.75,0.5759162303664922,0.6241610738255033,0.67,0.6785714285714286,0.7619047619047619,0.603448275862069,0.6597938144329897,PCA_20
LogisticRegression_GridSearch,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.56395093431159,100,0.9,False,10,0.6190476190476191,0.6972639756797838,0.6935483870967742,0.5706806282722513,0.589041095890411,0.69,0.6748768472906403,0.7142857142857143,0.6724137931034483,0.6593406593406593,PCA_10
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.5670516543152806,100,0.9,False,25,0.6476190476190476,0.7178263806789393,0.7096774193548387,0.6073298429319371,0.6132404181184669,0.67,0.6617405582922824,0.7380952380952381,0.6206896551724138,0.6526315789473685,PCA_25
