model,best_params,cv_f1_score,high_cardinality_threshold,corr_threshold,use_rf_selector,n_components,train_accuracy,train_auroc,train_recall,train_specificity,train_f1,val_accuracy,val_auroc,val_recall,val_specificity,val_f1,config_name
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5840351947230505,98,0.9,False,20.0,0.5936507936507937,0.6953217361932105,0.8225806451612904,0.44502617801047123,0.6144578313253012,0.64,0.6769293924466337,0.8571428571428571,0.4827586206896552,0.6666666666666666,PCA_20
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5639082463999039,100,0.9,False,25.0,0.6063492063492063,0.7116196588414119,0.8387096774193549,0.45549738219895286,0.6265060240963856,0.6,0.6535303776683087,0.7857142857142857,0.46551724137931033,0.6226415094339622,PCA_25
LogisticRegression_GridSearch,"{'C': 0.5, 'class_weight': 'balanced', 'coef0': 1.0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.5974697773919131,99,0.9,False,7.0,0.6126984126984127,0.6897483533186961,0.8064516129032258,0.4869109947643979,0.6211180124223602,0.6,0.6748768472906405,0.7619047619047619,0.4827586206896552,0.6153846153846154,PCA_10
LogisticRegression_GridSearch,"{'C': 0.5, 'class_weight': 'balanced', 'coef0': 0.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5916057294795762,150,0.9,True,,0.6063492063492063,0.652824691775038,0.7338709677419355,0.5235602094240838,0.5947712418300654,0.64,0.672824302134647,0.6666666666666666,0.6206896551724138,0.6086956521739131,RF_Selector
LogisticRegression_GridSearch,"{'C': 0.5, 'class_weight': 'balanced', 'coef0': 0.0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5965253456221198,98,0.9,False,15.0,0.5936507936507937,0.6290744806620503,0.7096774193548387,0.518324607329843,0.5789473684210527,0.63,0.694991789819376,0.6666666666666666,0.603448275862069,0.6021505376344086,PCA_15
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.5622392142098385,50,0.9,False,,0.4031746031746032,0.3134394527951359,1.0,0.015706806282722512,0.5688073394495413,0.42,0.35673234811165844,1.0,0.0,0.5915492957746479,Aggressive_Filtering
LogisticRegression_GridSearch,"{'C': 0.5, 'class_weight': 'balanced', 'coef0': 1.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.5815311364652178,100,0.9,False,40.0,0.7841269841269841,0.8747255531160277,0.782258064516129,0.7853403141361257,0.7404580152671756,0.68,0.6424466338259441,0.5476190476190477,0.7758620689655172,0.5897435897435898,PCA_40
LogisticRegression_GridSearch,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5736835310483318,100,1.0,False,,0.5777777777777777,0.6346056409390304,0.7419354838709677,0.4712041884816754,0.580441640378549,0.55,0.6215106732348112,0.5476190476190477,0.5517241379310345,0.5054945054945055,Base
