,model,high_cardinality_threshold,corr_threshold,use_rf_selector,n_components,train_accuracy,train_auroc,train_recall,train_specificity,train_f1,val_accuracy,val_auroc,val_recall,val_specificity,val_f1
5,XGBoost,10,1,False,15,0.726984126984127,0.7445321736193211,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.62,0.6506568144499179,0.4523809523809524,0.7413793103448276,0.5
2,DecisionTree,10,1,False,15,0.726984126984127,0.7445321736193211,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.61,0.6576354679802956,0.2619047619047619,0.8620689655172413,0.3606557377049181
3,RandomForest,10,1,False,15,0.726984126984127,0.7391276811349435,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.59,0.6658456486042692,0.21428571428571427,0.8620689655172413,0.30508474576271183
4,GradientBoosting,10,1,False,15,0.726984126984127,0.7444899510217869,0.47580645161290325,0.8900523560209425,0.5784313725490197,0.58,0.6202791461412152,0.19047619047619047,0.8620689655172413,0.27586206896551724
1,LogisticRegression,10,1,False,15,0.6349206349206349,0.5794418172605978,0.16129032258064516,0.9424083769633508,0.25806451612903225,0.59,0.48173234811165844,0.09523809523809523,0.9482758620689655,0.16326530612244897
0,SVC rbf,10,1,False,15,0.6476190476190476,0.6266889039013679,0.13709677419354838,0.9790575916230366,0.23448275862068962,0.59,0.5123152709359605,0.047619047619047616,0.9827586206896551,0.08888888888888889
