,model,high_cardinality_threshold,corr_threshold,use_rf_selector,n_components,train_accuracy,train_auroc,train_recall,train_specificity,train_f1,val_accuracy,val_auroc,val_recall,val_specificity,val_f1
5,XGBoost,10,1,False,,0.707936507936508,0.7151030231379835,0.4435483870967742,0.8795811518324608,0.5445544554455446,0.59,0.6206896551724137,0.21428571428571427,0.8620689655172413,0.30508474576271183
4,GradientBoosting,10,1,False,,0.7142857142857143,0.7253208917412599,0.41935483870967744,0.9057591623036649,0.5360824742268042,0.61,0.6576354679802955,0.19047619047619047,0.9137931034482759,0.2909090909090909
2,DecisionTree,10,1,False,,0.726984126984127,0.7445321736193211,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.59,0.6270525451559934,0.19047619047619047,0.8793103448275862,0.2807017543859649
3,RandomForest,10,1,False,,0.726984126984127,0.733132072285087,0.4838709677419355,0.8848167539267016,0.5825242718446603,0.56,0.6231527093596059,0.16666666666666666,0.8448275862068966,0.24137931034482757
0,LogisticRegression,10,1,False,,0.6444444444444445,0.5750506671170411,0.20967741935483872,0.9267015706806283,0.3170731707317073,0.58,0.5449507389162561,0.07142857142857142,0.9482758620689655,0.125
1,SVC,10,1,False,,0.638095238095238,0.3702499577774025,0.08064516129032258,1.0,0.1492537313432836,0.58,0.5644499178981937,0.0,1.0,0.0
