,model,high_cardinality_threshold,corr_threshold,use_rf_selector,n_components,train_accuracy,train_auroc,train_recall,train_specificity,train_f1,val_accuracy,val_auroc,val_recall,val_specificity,val_f1
5,XGBoost,10,1,False,10,0.726984126984127,0.7444899510217868,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.4,0.5833333333333333,0.7380952380952381,0.15517241379310345,0.5081967213114755
3,RandomForest,10,1,False,10,0.726984126984127,0.7371009964533018,0.47580645161290325,0.8900523560209425,0.5784313725490197,0.61,0.6613300492610836,0.2619047619047619,0.8620689655172413,0.3606557377049181
4,GradientBoosting,10,1,False,10,0.726984126984127,0.7444055058267185,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.61,0.6490147783251232,0.2619047619047619,0.8620689655172413,0.3606557377049181
2,DecisionTree,10,1,False,10,0.726984126984127,0.7445321736193211,0.46774193548387094,0.8952879581151832,0.5742574257425742,0.6,0.6405993431855501,0.23809523809523808,0.8620689655172413,0.33333333333333326
1,SVC,10,1,False,10,0.6603174603174603,0.6249366661036987,0.2903225806451613,0.900523560209424,0.4022346368715084,0.59,0.4844006568144499,0.14285714285714285,0.9137931034482759,0.22641509433962262
0,LogisticRegression,10,1,False,10,0.6285714285714286,0.5765284580307379,0.1532258064516129,0.93717277486911,0.24516129032258063,0.59,0.45238095238095244,0.09523809523809523,0.9482758620689655,0.16326530612244897
