Mask,Medial_X,Medial_Y,Medial_Z,Lateral_X,Lateral_Y,Lateral_Z
original,-133.84780287742615,-66.05480623245239,-900.5,-71.2696521282196,-73.87707507610321,-900.5
expanded_2mm,-105.16615045070648,24.335855960845947,-740.5,-70.40051114559174,2.607331395149231,-760.5
expanded_4mm,-101.68958652019501,23.46671497821808,-742.5,-70.40051114559174,2.607331395149231,-762.5
random_1,-102.55872750282288,24.335855960845947,-740.5,-70.40051114559174,2.607331395149231,-760.5
random_2,-100.82044553756714,23.46671497821808,-740.5,-70.40051114559174,2.607331395149231,-760.5
